Date,Not indexed,Indexed,Impressions
2025-11-09,,,42
2025-11-10,88,40,46
2025-11-11,101,160,158
2025-11-12,101,160,149
2025-11-13,101,160,151
2025-11-14,101,160,184
2025-11-15,104,159,152
2025-11-16,104,159,151
2025-11-17,104,159,137
